# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
0.000000000000000000e+00 2.264354637323855719e-14 8.898461806432157716e-14 1.236910509117992020e-14 1.124006104160540609e-13 5.642113576688514402e-16 1.145759313706812301e-14
4.911999999999999700e-02 2.828061653515673468e-14 1.113662334253072252e-13 1.555892105547029186e-14 1.398249058064458372e-13 6.872500920697737593e-16 1.388395446669182453e-14
1.005999999999999950e-01 3.524196495713893042e-14 1.390774585620478852e-13 1.953326365094426408e-14 1.738208568090987421e-13 8.371660884494247348e-16 1.681418498827729709e-14
1.547000000000000042e-01 4.380357893131824132e-14 1.732572727690307064e-13 2.446451767487445971e-14 2.158219101527229464e-13 1.019590548480328459e-15 2.034601031575595850e-14
2.114000000000000046e-01 5.430433833263105888e-14 2.152590254551574712e-13 3.056343633290198831e-14 2.675524327075464583e-13 1.241094534836855863e-15 2.459462678080324582e-14
2.708999999999999742e-01 6.712605523128958452e-14 2.666499307094842616e-13 3.806850662320939817e-14 3.310195295084393467e-13 1.508980519594556480e-15 2.968958148128303224e-14
3.332999999999999852e-01 8.271301467578846897e-14 3.291920555614434373e-13 4.724332118742270234e-14 4.084881625354338231e-13 1.831894356898747452e-15 3.577464430517549737e-14
3.987999999999999878e-01 1.015702628692606557e-13 4.049427041657709096e-13 5.839350304129902494e-14 5.025637669405564311e-13 2.219518287544639800e-15 4.301820617320043595e-14
4.675000000000000266e-01 1.242660821891768682e-13 4.960666090899214584e-13 7.182549224390983359e-14 6.159651888644027129e-13 2.681744407968176388e-15 5.158226880323382615e-14
5.395999999999999686e-01 1.514165668798554172e-13 6.050775673805461449e-13 8.792048971501756655e-14 7.518348601991430224e-13 3.229306900642847263e-15 6.165105355911175599e-14
6.151999999999999691e-01 1.836390797933530034e-13 7.342990954161731797e-13 1.070759933001274501e-13 9.129781599803819672e-13 3.872474949443164670e-15 7.339358882887816655e-14
6.945000000000000062e-01 2.215638318045022527e-13 8.863009750038162463e-13 1.297173122270612355e-13 1.102648043291950789e-12 4.620489358449528978e-15 8.695568316332303907e-14
7.778000000000000469e-01 2.657336847929077367e-13 1.063032178026683556e-12 1.561128377178513736e-13 1.322978564239823423e-12 5.479161411498727860e-15 1.024327557773702702e-13
8.650999999999999801e-01 3.165721935583684824e-13 1.266123889152209347e-12 1.865134345170355731e-13 1.575933545212297961e-12 6.449958488660309737e-15 1.198370160273279132e-13
9.566999999999999948e-01 3.741339784237521175e-13 1.496003454387970460e-12 2.209689311296553491e-13 1.861585799417460826e-12 7.525274018828323210e-15 1.390361316193088244e-13
1.052999999999999936e+00 4.383010586603704425e-13 1.751717812085848965e-12 2.592798698747216863e-13 2.177924191835467724e-12 8.685189169090715118e-15 1.597024149259294363e-13
1.153999999999999915e+00 5.080496229681739326e-13 2.029586820089358508e-12 3.008849401159781238e-13 2.519848620673244827e-12 9.890723493622285271e-15 1.812140884244145264e-13
1.258999999999999897e+00 5.817866540442307842e-13 2.322973593684941519e-12 3.447593689125021923e-13 2.877633379437754978e-12 1.107726453021432921e-14 2.025398025494695763e-13
